Ubigeo,Densidad
010000,9.67
010100,16.76
010101,211.62
010102,10.08
010103,3.18
010104,11.26
010105,4.09
010106,6.38
010107,2.65
010108,25.67
010109,10.47
010110,9.71
010111,10.18
010112,6.31
010113,16.27
010114,6.51
010115,4.17
010116,3.00
010117,8.36
010118,6.28
010119,5.69
010120,14.57
010121,2.19
010200,13.11
010201,179.48
010202,12.07
010203,46.41
010204,67.56
010205,5.68
010206,43.47
010300,8.93
010301,8.68
010302,1.75
010303,8.70
010304,16.78
010305,6.03
010306,29.55
010307,85.17
010308,8.32
010309,4.84
010310,12.12
010311,9.71
010312,3.25
010400,2.36
010401,4.16
010402,1.81
010403,1.74
010500,13.73
010501,32.28
010502,17.22
010503,5.28
010504,17.32
010505,7.19
010506,4.22
010507,14.47
010508,10.02
010509,43.51
010510,5.24
010511,9.30
010512,20.09
010513,14.60
010514,15.53
010515,18.54
010516,16.55
010517,6.10
010518,2.94
010519,4.76
010520,14.98
010521,35.44
010522,12.28
010523,103.69
010600,12.72
010601,29.20
010602,16.33
010603,2.99
010604,26.20
010605,7.17
010606,24.71
010607,8.56
010608,16.78
010609,50.25
010610,15.06
010611,47.00
010612,3.13
010700,27.90
010701,68.06
010702,13.22
010703,26.81
010704,18.55
010705,18.49
010706,30.73
010707,50.47
020000,30.20
020100,65.76
020101,140.64
020102,12.05
020103,5.76
020104,7.66
020105,221.83
020106,79.68
020107,6.50
020108,10.54
020109,2.67
020110,28.26
020111,13.61
020112,57.62
020200,9.06
020201,12.61
020202,6.14
020203,9.58
020204,10.34
020205,9.04
020300,24.29
020301,36.13
020302,27.80
020303,18.49
020304,37.78
020305,23.11
020306,11.24
020400,13.95
020401,10.19
020402,34.75
020500,7.54
020501,21.86
020502,22.18
020503,8.35
020504,4.74
020505,8.69
020506,16.42
020507,8.41
020508,7.41
020509,3.69
020510,9.79
020511,6.62
020512,4.24
020513,4.33
020514,11.25
020515,7.39
020600,56.20
020601,77.55
020602,176.57
020603,119.25
020604,57.68
020605,31.26
020606,60.37
020607,115.08
020608,17.54
020609,21.45
020610,222.33
020611,65.04
020700,28.39
020701,40.99
020702,15.89
020703,24.08
020800,22.55
020801,29.68
020802,10.13
020803,9.41
020804,23.26
020900,7.62
020901,11.73
020902,6.65
020903,2.95
020904,6.50
020905,10.91
020906,13.78
020907,8.06
021000,21.18
021001,23.00
021002,17.03
021003,16.18
021004,18.37
021005,20.48
021006,19.82
021007,21.47
021008,16.48
021009,18.15
021010,11.56
021011,22.39
021012,78.33
021013,9.83
021014,30.58
021015,18.23
021016,24.09
021100,7.83
021101,8.68
021102,7.40
021103,4.92
021104,14.59
021105,3.39
021200,22.39
021201,97.68
021202,5.36
021203,18.93
021204,28.32
021205,17.28
021206,15.73
021207,48.63
021208,11.81
021209,12.87
021210,3.50
021300,27.75
021301,65.74
021302,47.64
021303,14.11
021304,9.31
021305,21.25
021306,39.36
021307,35.48
021308,24.43
021400,3.66
021401,5.21
021402,2.60
021403,3.95
021404,4.29
021405,3.47
021406,9.38
021407,8.21
021408,6.44
021409,1.17
021410,4.99
021500,11.18
021501,16.30
021502,11.33
021503,12.63
021504,8.17
021505,8.63
021506,7.77
021507,20.59
021508,39.40
021509,9.09
021510,3.43
021511,12.79
021600,27.13
021601,39.75
021602,33.19
021603,17.54
021604,15.07
021700,7.46
021701,30.81
021702,3.84
021703,2.36
021704,5.90
021705,9.03
021706,8.69
021707,9.14
021708,5.95
021709,5.20
021710,17.34
021800,108.71
021801,141.15
021802,8.04
021803,1775.44
021804,5.34
021805,22.38
021806,31.28
021807,30.97
021808,467.17
021809,408.52
021900,18.52
021901,122.98
021902,10.54
021903,6.58
021904,40.88
021905,5.23
021906,12.22
021907,15.69
021908,10.95
021909,29.60
021910,17.23
022000,37.36
022001,72.45
022002,12.13
022003,99.00
022004,30.52
022005,31.09
022006,115.52
022007,11.36
022008,18.90
030000,19.42
030100,32.06
030101,220.54
030102,7.20
030103,2.91
030104,19.83
030105,6.67
030106,5.75
030107,7.48
030108,23.31
030109,197.47
030200,35.74
030201,242.92
030202,31.74
030203,7.96
030204,34.05
030205,33.51
030206,7.73
030207,19.43
030208,14.03
030209,46.99
030210,3.65
030211,6.69
030212,16.26
030213,87.50
030214,19.43
030215,50.32
030216,125.06
030217,4.17
030218,29.85
030219,18.53
030220,20.82
030300,3.51
030301,4.60
030302,8.00
030303,5.45
030304,2.75
030305,1.92
030306,4.64
030307,6.19
030400,5.77
030401,15.30
030402,7.44
030403,3.95
030404,8.89
030405,7.22
030406,1.47
030407,6.33
030408,7.50
030409,13.90
030410,12.31
030411,8.94
030412,2.47
030413,16.16
030414,11.27
030415,16.58
030416,7.39
030417,9.43
030500,19.39
030501,14.38
030502,11.70
030503,15.72
030504,19.85
030505,26.11
030506,33.01
030600,36.43
030601,40.10
030602,266.36
030603,15.71
030604,14.06
030605,116.53
030606,19.70
030607,17.79
030608,89.91
30610,27.87
30611,6.96
30609,47.18
030700,9.77
030701,11.60
030714,8.78
030702,6.61
030703,7.52
030704,12.32
030705,13.00
030706,8.50
030707,5.02
030708,11.55
030709,11.33
030710,15.56
030711,12.08
030712,154.13
030713,5.77
040000,21.83
040100,111.61
040101,18479.00
040102,12267.14
040103,373.72
040104,1131.17
040105,150.57
040106,6.38
040107,2508.20
040129,7439.00
040108,47.79
040109,1997.27
040110,2089.28
040111,176.15
040112,4236.97
040113,2.59
040114,1.89
040115,136.69
040116,118.05
040117,897.22
040118,6.57
040119,0.61
040120,3.63
040121,17.08
040122,3965.84
040123,505.97
040124,61.91
040125,2.34
040126,12708.50
040127,2.67
040128,17.16
040200,14.85
040201,1113.92
040202,273.00
040203,12.54
040204,10.70
040205,18.13
040206,2.95
040207,1.03
040208,141.15
040300,3.15
040301,5.85
040302,6.16
040303,1.66
040304,1.12
040305,2.00
040306,0.43
040307,24.44
040308,2.50
040309,4.30
040310,3.60
040311,3.26
040312,1.75
040313,3.38
040400,4.86
040401,13.18
040402,2.16
040403,0.74
040404,1.38
040405,5.23
040406,0.78
