Ubigeo,ubigeogroup
10101,1
10103,2
10107,3
10109,4
10110,5
10112,6
10115,7
10120,8
10201,9
10202,10
10203,11
10205,12
10206,13
10301,14
10302,15
10304,16
10306,17
10307,18
10310,19
10312,20
10401,21
10402,22
10403,23
10501,24
10502,25
10503,26
10506,27
10507,28
10509,29
10510,30
10512,31
10513,32
10514,33
10520,34
10521,35
10601,36
10602,37
10604,38
10605,39
10606,40
10607,41
10608,42
10609,43
10701,44
10702,45
10703,46
10704,47
10705,48
10706,49
10707,50
20101,51
20103,52
20105,53
20108,54
20112,55
20201,56
20202,57
20205,58
20304,59
20305,60
20306,61
20401,62
20402,63
20508,64
20509,65
20601,66
20606,67
20609,68
20701,69
20702,70
20703,71
20801,72
20802,73
20804,74
21001,75
21003,76
21004,77
21008,78
21012,79
21101,80
21102,81
21103,82
21104,83
21201,84
21205,85
21207,86
21209,87
21303,88
21403,89
21405,90
21406,91
21409,92
21501,93
21502,94
21503,95
21505,96
21507,97
21509,98
21601,99
21602,100
21603,101
21701,102
21702,103
21708,104
21709,105
21801,106
21802,107
21803,108
21804,109
21806,110
21807,111
21808,112
21809,113
21901,114
21906,115
21909,116
22001,117
22002,118
22005,119
22008,120
30101,121
30102,122
30103,123
30104,124
30106,125
30107,126
30109,127
30201,128
30202,129
30204,130
30205,131
30206,132
30207,133
30208,134
30209,135
30210,136
30213,137
30214,138
30215,139
30216,140
30218,141
30301,142
30303,143
30304,144
30401,145
30402,146
30409,147
30414,148
30415,149
30417,150
30502,151
30503,152
30504,153
30506,154
30601,155
30602,156
30603,157
30604,158
30605,159
30606,160
30608,161
30609,162
30706,163
30707,164
30712,165
40101,166
40102,167
40103,168
40104,169
40105,170
40106,171
40107,172
40108,173
40109,174
40110,175
40111,176
40112,177
40115,178
40116,179
40117,180
40119,181
40121,182
40122,183
40123,184
40124,185
40126,186
40128,187
40129,188
40201,189
40202,190
40203,191
40204,192
40205,193
40206,194
40207,195
40208,196
40301,197
40302,198
40303,199
40305,200
40307,201
40311,202
40312,203
40401,204
40407,205
40408,206
40409,207
40410,208
40413,209
40505,210
40511,211
40513,212
40514,213
40520,214
40603,215
40604,216
40605,217
40606,218
40608,219
40701,220
40702,221
40703,222
40704,223
40705,224
40706,225
40804,226
50101,227
50102,228
50103,229
50104,230
50105,231
50106,232
50107,233
50109,234
50110,235
50114,236
50115,237
50116,238
50201,239
50202,240
50203,241
50205,242
50206,243
50301,244
50303,245
50304,246
50401,247
50402,248
50403,249
50404,250
50406,251
50407,252
50408,253
50501,254
50502,255
50503,256
50505,257
50507,258
50508,259
50509,260
50510,261
50601,262
50605,263
50606,264
50607,265
50611,266
50612,267
50616,268
50619,269
50701,270
50705,271
50801,272
50803,273
50804,274
50901,275
50903,276
50908,277
51001,278
51002,279
51005,280
51011,281
51012,282
51101,283
51104,284
51105,285
51106,286
51108,287
60101,288
60103,289
60105,290
60106,291
60107,292
60108,293
60109,294
60201,295
60202,296
60203,297
60204,298
60301,299
60303,300
60304,301
60310,302
60401,303
60402,304
60405,305
60407,306
60409,307
60411,308
60413,309
60417,310
60502,311
60505,312
60508,313
60601,314
60602,315
60604,316
60606,317
60607,318
60612,319
60614,320
60701,321
60703,322
60801,323
60802,324
60805,325
60807,326
60811,327
60812,328
60901,329
60902,330
60903,331
60904,332
60906,333
60907,334
61001,335
61004,336
61006,337
61007,338
61101,339
61105,340
61107,341
61111,342
61113,343
61201,344
61202,345
61204,346
61303,347
61305,348
61308,349
61311,350
70101,351
70102,352
70103,353
70104,354
70105,355
70106,356
70107,357
80101,358
80103,359
80104,360
80105,361
80106,362
80108,363
80203,364
80205,365
80301,366
80305,367
80401,368
80404,369
80408,370
80503,371
80601,372
80602,373
80603,374
80604,375
80605,376
80606,377
80608,378
80701,379
80702,380
80705,381
80706,382
80708,383
80801,384
80803,385
80805,386
80807,387
80901,388
80902,389
80903,390
80904,391
80905,392
80906,393
80909,394
80910,395
81001,396
81004,397
81005,398
81006,399
81008,400
81101,401
81103,402
81104,403
81106,404
81201,405
81202,406
81205,407
81206,408
81208,409
81212,410
81301,411
81302,412
81303,413
81304,414
81305,415
81306,416
90101,417
90102,418
90103,419
90105,420
90106,421
90107,422
90110,423
90111,424
90114,425
90117,426
90118,427
90119,428
90201,429
90203,430
90205,431
90206,432
90207,433
90208,434
90301,435
90306,436
90308,437
90309,438
90311,439
90401,440
90402,441
90407,442
90409,443
90412,444
90501,445
90504,446
90507,447
90510,448
90601,449
90603,450
90607,451
90610,452
90613,453
90616,454
90701,455
90703,456
90704,457
90705,458
90706,459
90707,460
90709,461
90711,462
90714,463
90715,464
90716,465
90717,466
90718,467
100101,468
100102,469
100103,470
100104,471
100105,472
100106,473
100108,474
100109,475
100111,476
100113,477
100201,478
100204,479
100205,480
100207,481
100208,482
100301,483
100307,484
100311,485
100313,486
100317,487
100322,488
100401,489
100402,490
100404,491
100501,492
100502,493
100505,494
100507,495
100509,496
100510,497
100601,498
100602,499
100603,500
100604,501
100605,502
100606,503
100608,504
100609,505
100701,506
100702,507
100704,508
100705,509
100801,510
100802,511
100803,512
100804,513
100901,514
100902,515
100903,516
100904,517
100905,518
101001,519
101007,520
101102,521
101103,522
101105,523
101106,524
110101,525
110102,526
110103,527
110104,528
110106,529
110107,530
110108,531
110109,532
110110,533
110111,534
110112,535
110113,536
110114,537
110201,538
110202,539
110204,540
110205,541
110206,542
110207,543
110210,544
110301,545
110303,546
110304,547
110305,548
110401,549
110403,550
